j ratio accept a b
0 6.51231001596e-77 False 0.0 -0.3
1 2.14747603299e-08 False 0.0 -0.3
2 5.20316644257e-177 False 0.0 -0.3
3 1.00573185413e-107 False 0.0 -0.3
4 9.68558915559e-114 False 0.0 -0.3
5 1.84721018657e+17 True 0.06128285525754099 -0.390430170656523
6 6.50246735209e+26 True 0.07802436845597453 -0.3915298939667298
7 3.74933579095e+16 True 0.0637215918468408 -0.35279047367563615
8 2.33485665987e+203 True 0.09291009095943215 -0.18664105883242513
9 1.18863246457e+200 True 0.13045235574733383 0.004725508958618091
10 1.17532832263e+37 True 0.1256974541749244 0.07419263368705943
11 3.82380200504e+65 True 0.14535856153405047 0.14461073951483372
12 1.9996785338e+28 True 0.17312777385956848 0.13239741126872903
13 3.83728483506e-214 False 0.17312777385956848 0.13239741126872903
14 3.79874746886e-172 False 0.17312777385956848 0.13239741126872903
15 5.32217704628e+31 True 0.217760820791236 0.09752818618648959
16 9.62627874245e-28 False 0.217760820791236 0.09752818618648959
17 5.14514821093e-15 False 0.217760820791236 0.09752818618648959
18 5.77152073472e+57 True 0.2320460652956385 0.1822664302593879
19 2.93921829878e-197 False 0.2320460652956385 0.1822664302593879
20 4.84646367778e-51 False 0.2320460652956385 0.1822664302593879
21 19336211565.9 True 0.24045808814988556 0.18671234919602048
22 7.27662871551e+17 True 0.24469462055124908 0.21786133957654363
23 3.35992605762e+42 True 0.25953229083242163 0.2922735367970578
24 1.19414735644e+20 True 0.2889084181171345 0.2803976183652356
25 4.66384926427e-56 False 0.2889084181171345 0.2803976183652356
26 2.22019089455e-33 False 0.2889084181171345 0.2803976183652356
27 9.45832912148e+50 True 0.38028809896842214 0.26306964072591066
28 0.188751337934 False 0.38028809896842214 0.26306964072591066
29 2.734420113e-43 False 0.38028809896842214 0.26306964072591066
30 4.49254894845e-09 False 0.38028809896842214 0.26306964072591066
31 360.86687118 True 0.3559690924630643 0.30761509667341147
32 5.03763563326e-53 False 0.3559690924630643 0.30761509667341147
33 5.40462549672e+16 True 0.40631607466127523 0.2872891136803363
34 1.31806436974e-82 False 0.40631607466127523 0.2872891136803363
35 6.66165098814e-10 False 0.40631607466127523 0.2872891136803363
36 6.47763064328e+22 True 0.4057717541512941 0.3679153510215684
37 41383829283.3 True 0.4488361483721447 0.36023212026309454
38 1.45871769619e-15 False 0.4488361483721447 0.36023212026309454
39 4.29161326149e-35 False 0.4488361483721447 0.36023212026309454
40 1.34033348032e+14 True 0.4291439551824474 0.45439826278579315
41 5.02593369885e+15 True 0.48171169686564325 0.509476939608971
42 0.00028301604055 False 0.48171169686564325 0.509476939608971
43 25145.7389099 True 0.4846626660698656 0.5955158454090712
44 0.147584409555 False 0.4846626660698656 0.5955158454090712
45 0.0137289692136 False 0.4846626660698656 0.5955158454090712
46 0.0227826732785 False 0.4846626660698656 0.5955158454090712
47 3.7722990988e-18 False 0.4846626660698656 0.5955158454090712
48 0.0037412541557 False 0.4846626660698656 0.5955158454090712
49 1.78527430419e-13 False 0.4846626660698656 0.5955158454090712
50 3.31253081036e-08 False 0.4846626660698656 0.5955158454090712
51 0.912576669435 True 0.5107538535178237 0.6058911289310762
52 2.90155802211e-05 False 0.5107538535178237 0.6058911289310762
53 6.73961357751e-10 False 0.5107538535178237 0.6058911289310762
54 0.000222511078894 False 0.5107538535178237 0.6058911289310762
55 2.03997493105e-34 False 0.5107538535178237 0.6058911289310762
56 2.18969257304e-07 False 0.5107538535178237 0.6058911289310762
57 6.77145941419e-11 False 0.5107538535178237 0.6058911289310762
58 1.23816458526e-10 False 0.5107538535178237 0.6058911289310762
59 1.91014841619e-05 False 0.5107538535178237 0.6058911289310762
60 1.59554801782e-08 False 0.5107538535178237 0.6058911289310762
61 0.88589023082 True 0.5126725224398693 0.5937049430060226
62 0.00777793752753 False 0.5126725224398693 0.5937049430060226
63 0.116029454993 True 0.5255185250628787 0.5889096625878256
64 4.4731522928 True 0.5174029895536555 0.5996010325431648
65 1.54112169459e-06 False 0.5174029895536555 0.5996010325431648
66 1.07487413907e-31 False 0.5174029895536555 0.5996010325431648
67 3.25986323589e-06 False 0.5174029895536555 0.5996010325431648
68 0.0001507687718 False 0.5174029895536555 0.5996010325431648
69 3.59468461459e-08 False 0.5174029895536555 0.5996010325431648
70 1.05660348839e-20 False 0.5174029895536555 0.5996010325431648
71 9.98201160962e-12 False 0.5174029895536555 0.5996010325431648
72 1.04760725349e-14 False 0.5174029895536555 0.5996010325431648
73 0.000196912679162 False 0.5174029895536555 0.5996010325431648
74 1.90439393031e-34 False 0.5174029895536555 0.5996010325431648
75 0.0335481562213 False 0.5174029895536555 0.5996010325431648
76 9.57093255507e-11 False 0.5174029895536555 0.5996010325431648
77 3.57982032052e-18 False 0.5174029895536555 0.5996010325431648
78 6.54001250461e-11 False 0.5174029895536555 0.5996010325431648
79 9.51419392035e-05 False 0.5174029895536555 0.5996010325431648
80 0.00188581152198 False 0.5174029895536555 0.5996010325431648
81 1.39266438978e-27 False 0.5174029895536555 0.5996010325431648
82 0.0031807242014 False 0.5174029895536555 0.5996010325431648
83 8.85414350209e-07 False 0.5174029895536555 0.5996010325431648
84 6.21588492559e-09 False 0.5174029895536555 0.5996010325431648
85 3.02835862834e-14 False 0.5174029895536555 0.5996010325431648
86 0.487457472414 False 0.5174029895536555 0.5996010325431648
87 5.30617314142e-19 False 0.5174029895536555 0.5996010325431648
88 8.74065453188e-06 False 0.5174029895536555 0.5996010325431648
89 4.49464100364e-10 False 0.5174029895536555 0.5996010325431648
90 1.22732273422e-14 False 0.5174029895536555 0.5996010325431648
91 3.77666100314e-18 False 0.5174029895536555 0.5996010325431648
92 1.56408851094e-09 False 0.5174029895536555 0.5996010325431648
93 1.66890728744e-14 False 0.5174029895536555 0.5996010325431648
94 5.04574342127e-16 False 0.5174029895536555 0.5996010325431648
95 7.59634069436e-06 False 0.5174029895536555 0.5996010325431648
96 3.36438542066e-07 False 0.5174029895536555 0.5996010325431648
97 5.47744942827e-37 False 0.5174029895536555 0.5996010325431648
98 6.87137652754e-06 False 0.5174029895536555 0.5996010325431648
99 9.0403845379e-09 False 0.5174029895536555 0.5996010325431648
100 0.000669147296298 False 0.5174029895536555 0.5996010325431648
101 4.92182193382e-06 False 0.5174029895536555 0.5996010325431648
102 1.02923157579e-07 False 0.5174029895536555 0.5996010325431648
103 2.10530407325e-15 False 0.5174029895536555 0.5996010325431648
104 2.98133313254e-05 False 0.5174029895536555 0.5996010325431648
105 0.0472959556416 False 0.5174029895536555 0.5996010325431648
106 6.6624190496e-11 False 0.5174029895536555 0.5996010325431648
107 5.15684038723e-20 False 0.5174029895536555 0.5996010325431648
108 0.182252847024 False 0.5174029895536555 0.5996010325431648
109 1.25493815847e-05 False 0.5174029895536555 0.5996010325431648
110 2.41443177443e-08 False 0.5174029895536555 0.5996010325431648
111 3.11521986642e-09 False 0.5174029895536555 0.5996010325431648
112 7.26301960518e-18 False 0.5174029895536555 0.5996010325431648
113 7.47007777376e-17 False 0.5174029895536555 0.5996010325431648
114 1.04941928183e-31 False 0.5174029895536555 0.5996010325431648
115 4.39208453562 True 0.5017782910786708 0.5972797399788559
116 2.80934971683e-11 False 0.5017782910786708 0.5972797399788559
117 0.0135252817598 False 0.5017782910786708 0.5972797399788559
118 2.6149356828e-47 False 0.5017782910786708 0.5972797399788559
119 0.0195002553677 False 0.5017782910786708 0.5972797399788559
120 0.070546445312 False 0.5017782910786708 0.5972797399788559
121 0.000192263682524 False 0.5017782910786708 0.5972797399788559
122 3.7147393036e-11 False 0.5017782910786708 0.5972797399788559
123 3.85512527876e-28 False 0.5017782910786708 0.5972797399788559
124 0.00251812054612 False 0.5017782910786708 0.5972797399788559
125 5.96661494682e-06 False 0.5017782910786708 0.5972797399788559
126 2.17354055443e-24 False 0.5017782910786708 0.5972797399788559
127 8.14766044281e-07 False 0.5017782910786708 0.5972797399788559
128 2.43602808234e-12 False 0.5017782910786708 0.5972797399788559
129 0.011457218606 False 0.5017782910786708 0.5972797399788559
130 1.04278446974e-05 False 0.5017782910786708 0.5972797399788559
131 0.00964017056952 False 0.5017782910786708 0.5972797399788559
132 0.425356865676 True 0.49178619958649306 0.6277326735826212
133 7.87847999146e-07 False 0.49178619958649306 0.6277326735826212
134 8.46502233218e-06 False 0.49178619958649306 0.6277326735826212
135 3.56727931916e-05 False 0.49178619958649306 0.6277326735826212
136 3.26517706945e-14 False 0.49178619958649306 0.6277326735826212
137 1.04547550923e-06 False 0.49178619958649306 0.6277326735826212
138 8.4872299764e-19 False 0.49178619958649306 0.6277326735826212
139 4.56720983688e-19 False 0.49178619958649306 0.6277326735826212
140 1.22000589374e-08 False 0.49178619958649306 0.6277326735826212
141 1.69331331738e-05 False 0.49178619958649306 0.6277326735826212
142 1.13372531399e-10 False 0.49178619958649306 0.6277326735826212
143 6.32285908745e-12 False 0.49178619958649306 0.6277326735826212
144 0.029324215766 False 0.49178619958649306 0.6277326735826212
145 1.38417458258e-19 False 0.49178619958649306 0.6277326735826212
146 6.84917174851e-20 False 0.49178619958649306 0.6277326735826212
147 5.00855343129e-14 False 0.49178619958649306 0.6277326735826212
148 6.658876594e-06 False 0.49178619958649306 0.6277326735826212
149 8.32607978179e-31 False 0.49178619958649306 0.6277326735826212
150 7.12638376407e-07 False 0.49178619958649306 0.6277326735826212
151 5.08950615479e-48 False 0.49178619958649306 0.6277326735826212
152 0.00318425223858 False 0.49178619958649306 0.6277326735826212
153 6.48709229786e-09 False 0.49178619958649306 0.6277326735826212
154 7.97574044855e-06 False 0.49178619958649306 0.6277326735826212
155 0.0238495257477 True 0.47474106647135966 0.5559550701599077
156 8.06400389006e-05 False 0.47474106647135966 0.5559550701599077
157 0.0255422209606 False 0.47474106647135966 0.5559550701599077
158 5.15004882508e-09 False 0.47474106647135966 0.5559550701599077
159 2.8362191312 True 0.497849347325583 0.6563768521581016
160 1.49868811741e-17 False 0.497849347325583 0.6563768521581016
161 1.24424727934e-08 False 0.497849347325583 0.6563768521581016
162 7.35875901433e-06 False 0.497849347325583 0.6563768521581016
163 1.28108909099e-06 False 0.497849347325583 0.6563768521581016
